epoch,loss,mean_absolute_error,mean_squared_error
0,138.39915901470127,138.39915901470127,19248.469166554623
1,114.66790243475879,114.66790243475879,13397.521760177378
2,58.40094337510271,58.40094337510271,4276.070736407354
3,26.52287715215513,26.52287715215513,1070.1611949355602
4,21.79606411423358,21.79606411423358,738.9028815496313
5,17.890768782669003,17.890768782669003,520.9981552339729
6,13.902404934039641,13.902404934039641,326.7439133187489
7,10.305041887603366,10.305041887603366,212.4438706710431
8,8.411473848662936,8.411473848662936,158.7817957713403
9,7.753442902907903,7.753442902907903,126.16463620045761
10,7.228117378635793,7.228117378635793,100.4286241584126
11,6.801564070954232,6.801564070954232,84.83942979555886
12,6.58012950500976,6.58012950500976,78.7541851167966
13,6.462062970802106,6.462062970802106,75.5734097598591
14,6.380626943995049,6.380626943995049,73.60794108179206
15,6.323206641590515,6.323206641590515,72.50031359296821
16,6.265232530487192,6.265232530487192,71.02104339880964
17,6.221789885241339,6.221789885241339,70.2483494365296
18,6.15798055986429,6.15798055986429,69.18416351384009
19,6.137953741241248,6.137953741241248,68.33436705220603
20,6.093115900950558,6.093115900950558,67.67466276528722
21,6.05299339458557,6.05299339458557,66.95689506507316
22,6.025034014696568,6.025034014696568,66.16853825358723
23,6.002262784867618,6.002262784867618,65.95717048293326
24,5.970650984747101,5.970650984747101,65.40600322167714
25,5.9382480977134025,5.9382480977134025,64.64867725149576
26,5.92159275929475,5.92159275929475,64.43466231540148
27,5.887344059067851,5.887344059067851,63.985308639535745
28,5.879630775486829,5.879630775486829,63.686169289634066
29,5.871830196708862,5.871830196708862,63.46328928548277
30,5.845589419706657,5.845589419706657,62.99807031416937
31,5.8466175788007195,5.8466175788007195,62.97973955432256
32,5.835676435319353,5.835676435319353,62.89080071522549
33,5.8118038115943955,5.8118038115943955,62.297235872237025
34,5.780168443936545,5.780168443936545,62.07628447773563
35,5.772462634125882,5.772462634125882,62.26184788230891
36,5.778191446012416,5.778191446012416,62.15666955104985
37,5.78451995345516,5.78451995345516,61.99860665310213
38,5.769914118585663,5.769914118585663,62.048425300471536
39,5.7491573381804955,5.7491573381804955,62.12342726151197
40,5.7551971844683125,5.7551971844683125,61.97368002846407
41,5.741915969227309,5.741915969227309,61.760014403283996
42,5.748118433691492,5.748118433691492,62.20223675934757
43,5.735111782575723,5.735111782575723,61.87576312702275
44,5.744850050545794,5.744850050545794,62.32474386523528
45,5.74219087332249,5.74219087332249,61.96353290091282
46,5.728949814979915,5.728949814979915,61.875783126634104
47,5.702325751756552,5.702325751756552,61.5214552454371
48,5.724259524823115,5.724259524823115,62.03439033287906
49,5.733379311845869,5.733379311845869,61.98268994950926
50,5.7227344747401485,5.7227344747401485,61.95646974156807
51,5.702691287443399,5.702691287443399,62.10792271403645
52,5.713597015434786,5.713597015434786,62.39855433711994
53,5.707236976072549,5.707236976072549,61.62851514153929
54,5.715864794050614,5.715864794050614,62.14331813406636
55,5.726712162976772,5.726712162976772,62.2153707596885
56,5.702292050184028,5.702292050184028,62.18763067975833
57,5.703671955373585,5.703671955373585,62.13654475103659
58,5.721183471468672,5.721183471468672,62.38470294392028
59,5.7086195224769,5.7086195224769,62.08149971050504
60,5.698587684889256,5.698587684889256,61.983723612892604
61,5.726339787739365,5.726339787739365,62.70033727926056
62,5.702293687608247,5.702293687608247,62.12169956941142
63,5.70248794203971,5.70248794203971,62.00164236198852
64,5.702702315951243,5.702702315951243,61.98799493434463
65,5.7135726691904285,5.7135726691904285,62.33699792956896
66,5.693696044600662,5.693696044600662,61.80728109789979
67,5.719652028485317,5.719652028485317,62.57842693082672
68,5.7101714477703185,5.7101714477703185,62.365697085820756
69,5.7184028087691,5.7184028087691,62.0994489220805
70,5.719157538680702,5.719157538680702,62.345197552175115
71,5.698446268821392,5.698446268821392,62.02079761460579
72,5.706557292914786,5.706557292914786,62.35201051474057
73,5.705855812408035,5.705855812408035,62.17748376791215
74,5.720249571973148,5.720249571973148,62.69311383932591
75,5.707408015538962,5.707408015538962,61.92757005931852
76,5.719266183697232,5.719266183697232,62.42132027455467
77,5.705892818136749,5.705892818136749,62.0603016957082
78,5.700496881375961,5.700496881375961,62.40515119134098
79,5.703816795466352,5.703816795466352,62.11805003892445
80,5.69979103489309,5.69979103489309,62.27593565075106
81,5.703288251223854,5.703288251223854,62.15137169386026
82,5.716083865408965,5.716083865408965,62.60745966324575
83,5.726717526002683,5.726717526002683,62.45100901298312
84,5.714174412625951,5.714174412625951,62.67668214574062
85,5.709882135983252,5.709882135983252,62.60901308440693
86,5.69927664776118,5.69927664776118,62.54423499503015
87,5.699274626405384,5.699274626405384,61.98196410194964
88,5.70098576079722,5.70098576079722,62.28498761552788
89,5.706172397404854,5.706172397404854,62.154002057751335
90,5.705907037086698,5.705907037086698,62.29629236653896
91,5.67994582616411,5.67994582616411,62.35665310682075
92,5.691096970547029,5.691096970547029,62.30264612818028
93,5.679640565976528,5.679640565976528,61.762873906919246
94,5.709148300888352,5.709148300888352,62.42100769680705
95,5.7101541723147005,5.7101541723147005,62.62738082829471
96,5.703233212141003,5.703233212141003,62.20138952610459
97,5.712461682573446,5.712461682573446,62.33969212809295
98,5.696457642166616,5.696457642166616,62.161141834599
99,5.717319903669726,5.717319903669726,62.54670631629086
